names,assigned,times
Lucy,TRUE,2019-01-30T20:11:49.803187Z
Ida,TRUE,2019-01-30T20:13:58.542526Z
Myrtle,FALSE,2019-01-30T19:59:31.882086Z
Gertrude,TRUE,2019-01-30T20:15:25.341799Z
Louise,TRUE,2019-01-30T20:17:57.143337Z
Carrie,TRUE,2019-01-30T20:18:07.851294Z
Emma,TRUE,2019-01-30T20:18:09.644819Z
Nannie,TRUE,2019-01-30T20:06:16.318403Z
Mollie,TRUE,2019-01-30T20:19:55.746045Z
Sadie,FALSE,2019-01-30T19:59:43.864179Z
Will,TRUE,2019-01-30T20:08:45.250981Z
Joe,FALSE,2019-01-30T20:00:12.530059Z
Lewis,FALSE,2019-01-30T20:00:25.466986Z
John,FALSE,2019-01-30T20:00:36.359606Z
Ben,FALSE,2019-01-30T20:00:41.004195Z
Francis,TRUE,2019-01-30T20:02:09.163681Z
Albert,FALSE,2019-01-30T19:59:24.040318Z
Jack,TRUE,2019-01-30T20:03:48.783398Z
Horace,TRUE,2019-01-30T20:04:12.355984Z
Fred,FALSE,2019-01-30T19:59:28.147011Z
